period_end,value
2005-03-31,5.58
2005-06-30,5.58
2005-09-30,5.58
2005-12-31,5.58
2006-03-31,6.12
2006-06-30,6.12
2006-09-30,6.12
2006-12-31,6.12
2007-03-31,7.47
2007-06-30,7.47
2007-09-30,7.47
2007-12-31,7.47
2008-03-31,5.31
2008-06-30,5.31
2008-09-30,5.31
2008-12-31,5.31
2009-03-31,5.31
2009-06-30,5.31
2009-09-30,5.31
2009-12-31,5.31
2010-03-31,5.81
2010-06-30,5.81
2010-09-30,5.81
2010-12-31,5.81
2011-03-31,6.56
2011-06-30,6.56
2011-09-30,6.56
2011-12-31,6.56
2012-03-31,6.0
2012-06-30,6.0
2012-09-30,6.0
2012-12-31,6.0
2013-03-31,6.0
2013-06-30,6.0
2013-09-30,6.0
2013-12-31,6.0
2014-03-31,5.6
2014-06-30,5.6
2014-09-30,5.6
2014-12-31,5.6
2015-03-31,4.35
2015-06-30,4.35
2015-09-30,4.35
2015-12-31,4.35
2016-03-31,4.35
2016-06-30,4.35
2016-09-30,4.35
2016-12-31,4.35
2017-03-31,4.35
2017-06-30,4.35
2017-09-30,4.35
2017-12-31,4.35
2018-03-31,4.35
2018-06-30,4.35
2018-09-30,4.35
2018-12-31,4.35
2019-03-31,4.35
2019-06-30,4.35
2019-09-30,4.35
2019-12-31,4.35
2020-03-31,4.35
2020-06-30,4.35
2020-09-30,4.35
2020-12-31,4.35
2021-03-31,4.35
2021-06-30,4.35
2021-09-30,4.35
2021-12-31,4.35
2022-03-31,4.35
2022-06-30,4.35
2022-09-30,4.35
2022-12-31,4.35
2023-03-31,4.35
2023-06-30,4.35
2023-09-30,4.35
2023-12-31,4.35
2024-03-31,4.35
2024-06-30,4.35
2024-09-30,4.35
2024-12-31,4.35
